ACRES,BOROUGH,LOCATION,SIGNNAME,TYPECATEGORY,URL,ZIPCODE
0.996,Q,85 Ave. bet. 248 St. and 249 St.,Bellerose Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q328/,11426
0.565,Q,Cross Bay Blvd. bet. E. 4 Rd. and E. 6 Rd.,Broad Channel Veteran's Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q225/,11693
1.529,Q,59 Dr. bet. Fresh Pond Rd. and 63 St.,Reiff Playground,Neighborhood Park,http://www.nycgovparks.org/parks/Q423/,11378
0.961,Q,Beach Channel Dr. bet. Beach 46 St. and Beach 45 St.,Edgemere Urban Renewal Park,Garden,http://www.nycgovparks.org/parks/Q484/,11691
0.06,Q,"Northern Blvd., Roosevelt Ave. bet. 155 St. and 156 St.",Leonard Square,Triangle/Plaza,http://www.nycgovparks.org/parks/Q214/,11354
0.024,Q,"162 St., Northern Blvd., Crocheron Ave.,",Studley Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q213/,11358
0.004,B,S/B Gowanus Exwy. bet. 84 St. and 85 St.,Park,Strip,http://www.nycgovparks.org/parks/B210R/,11209
0.256,B,7 Ave. bet. 81 St. and 82 St.,Dan Ross Playground,Playground,http://www.nycgovparks.org/parks/B210P/,11209
0.108,B,BQE bet. Remsen St. and Montague St.,Brooklyn Heights Promenade,Triangle/Plaza,http://www.nycgovparks.org/parks/B233DD/,11201
0.055,Q,"Rockaway Blvd., 115 Ave. bet. 117 St. and 118 St.",David J O'Connell Square,Triangle/Plaza,http://www.nycgovparks.org/parks/Q203/,11420
0.084,Q,"Liberty Ave., Rockaway Blvd. bet. 94 St., Cross Bay Blvd. and 95 St.",Corporal Ruoff Square,Triangle/Plaza,http://www.nycgovparks.org/parks/Q190/,11417
13.543,Q,"N. Conduit Ave., 133 Ave. bet. 80 St. and 88 St.",Tudor Park,Community Park,http://www.nycgovparks.org/parks/Q094/,11417
0.006,Q,"Rockaway Blvd. 116 Ave., 122 St.",Catholic War Veterans Square,Triangle/Plaza,http://www.nycgovparks.org/parks/Q148/,11420
0.054,Q,"Rockaway Blvd., 101 Ave., 87 St.",Ruoff Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q147/,11416
0.728,M,N/S South St bet. Broad St and Old Slip,Vietnam Veterans Plaza,Triangle/Plaza,http://www.nycgovparks.org/parks/M046/,10004
0.009,Q,"41 Av, 102 St, National Av",American Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q173/,11368
0.03,Q,"Winchester Blvd., 93 Ave., 220 St.",Father Reilly Square,Triangle/Plaza,http://www.nycgovparks.org/parks/Q159/,11428
0.166,Q,"Cypress Hills St., Cooper Ave., 65 Pl.",Drumm Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q139/,11385
0.062,Q,"55 Ave., Jay Ave., 65 Pl.",Federalist Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q090/,11378
0.42,X,"Hunts Point Av, Bruckner Blvd, E 163 St",Monsignor Raul Del Valle Square,Triangle/Plaza,http://www.nycgovparks.org/parks/X009/,10459
11.422,Q,14 Rd. bet. 132 St. and 138 St.,Frank Golden Park,Neighborhood Park,http://www.nycgovparks.org/parks/Q445/,11356
11.788,Q,"29 Ave., 32 Ave. bet. 155 St. and 159 St.",Bowne Park,Neighborhood Park,http://www.nycgovparks.org/parks/Q006/,11354
0.008,Q,"109 Ave., 106 St., Rockaway Blvd.",Wellbrock Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q079/,11417
0.05,Q,"Rockaway Blvd., Eldert La.",Legion Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q076/,11421
0.026,B,BQE bet. Joralemon St. and Grace Ct.,Brooklyn Heights Promenade,Triangle/Plaza,http://www.nycgovparks.org/parks/B223DB/,11201
0.003,B,Hicks St. and Summit St.,Park,Strip,http://www.nycgovparks.org/parks/B223C/,11231
1.171,B,"Flushing Ave., Steuben St., Williamsburg Pl.",Steuben Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B221/,11205
0.901,B,Park Ave. bet. Washington Ave. and Hall St.,Washington Hall Park,Playground,http://www.nycgovparks.org/parks/B220/,11205
0.32,Q,Springfield Blvd. bet. Jamaica Ave. and Amboy La.,Queens Village Veterans Plaza,Triangle/Plaza,http://www.nycgovparks.org/parks/Q047/,11429
0.582,Q,38 St. bet. 31 Ave. and Broadway,Sean's Place,Neighborhood Park,http://www.nycgovparks.org/parks/Q444/,11103
0.091,B,Malta St. between New Lots Ave. and Hegeman Ave.,Prophecy Garden,Garden,http://www.nycgovparks.org/parks/B506/,11207
0.249,B,Newport St. and Osborn St.,Abib Newborn Garden,Garden,http://www.nycgovparks.org/parks/B533/,11212
0.1,Q,"44 Dr., Hunter St. Crescent St.",Rafferty Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q036A/,11101
2.857,Q,Hoffman Dr. bet. 58 Ave. and Woodhaven Blvd.,Hoffman Park,Playground,http://www.nycgovparks.org/parks/Q360N/,11373
0.139,B,"Linden Blvd., Church Ave., E. 92 St.",Linden Sitting Area,Triangle/Plaza,http://www.nycgovparks.org/parks/B171/,11236
0.09,B,Cleveland St. between Pitkin Ave. and Glenmore Ave.,Cleveland Street Vegetable Garden,Garden,http://www.nycgovparks.org/parks/B526/,11208
8.607,X,Dr. MLK Jr. Blvd. bet. W. Tremont Ave. and E. Fordham Rd.,Aqueduct Walk,Community Park,http://www.nycgovparks.org/parks/X001A/,1045310468
1.785,Q,Brookville Blvd. bet. 136 Ave. 137 Ave.,Laurelton Playground,Neighborhood Park,http://www.nycgovparks.org/parks/Q108/,11422
89.946,Q,"S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St.",Brookville Park,Community Park,http://www.nycgovparks.org/parks/Q008/,1141311422
0.08,Q,"10 St., Vernon Blvd. bet. 44 Rd. and 45 Ave.",Gordon Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q018/,11101
0.032,B,Glenmore Ave. and Hendrix St.,Escape To Nature,Garden,http://www.nycgovparks.org/parks/B468/,11207
0.107,B,Pitkin Ave. and Cleveland St.,Floral Vineyard,Garden,http://www.nycgovparks.org/parks/B467/,11207
0.129,B,Glenmore Ave. between Schenck Ave. and Hendrix St.,Clara's Garden,Garden,http://www.nycgovparks.org/parks/B450/,11207
1.649,B,Van Sicklen St. to McDonald Ave. between Village Rd. and Gravesend Neck Rd.,Old Gravesend Cemetery,Cemetery,http://www.nycgovparks.org/parks/B434/,11223
0.068,B,Atkins Ave. between Belmont Ave. and Pitkin Ave.,Atkins Gardeners,Garden,http://www.nycgovparks.org/parks/B443/,11208
0.14,B,Carlton Ave. between Greene Ave. and Fulton St.,Brooklyn Bears Carlton Av Garden,Garden,http://www.nycgovparks.org/parks/B421/,11238
0.925,Q,30 Ave. bet. 29 St. and 30 St.,Athens Square,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q436/,11102
87.516,R,Arthur Kills Near Fresh Kills Landfill,Isle Of Meadows,Nature Area,http://www.nycgovparks.org/parks/R151/,10314
0.042,X,Chatterton Ave. at Zegra Ave.. Cross Bronx Expressway to Westchester Creek,Park,Undeveloped,,10462
0.717,X,Spofford Av bet. Faile St and Hunts Point Av,Hunts Point Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X113/,10474
0.786,Q,36 Ave bet. 9 St. and 10 St.,Spirit Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q429/,11106
1.967,Q,"Woodbine St., Madison St. bet. Woodward Ave. and Fairview Ave.",Rosemary's Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q398/,11385
111.163,Q,"Brookville Blvd., Huxleyy St. bet. 149 Ave. and Hook Creek Basin",Hook Creek Park,Nature Area,http://www.nycgovparks.org/parks/Q466/,1155911422
80.936,X,Bronx Park to Van Cortlandt Park,Mosholu Parkway,Parkway,http://www.nycgovparks.org/parks/X033/,1045810467
40.16,Q,"Dwight Ave., Seagirt Blvd. bet. Beach 38 St. and Bay 32 St.",Bayswater Park,Community Park,http://www.nycgovparks.org/parks/Q007/,11691
1.195,B,Monroe St. to Madison St. between Marcy Ave. and Tompkins Ave.,Hattie Carthan Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B323/,11216
1.416,B,Hart St. to Pulaski St. between Throop Ave. and Marcus Garvey Blvd.,Pulaski Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B322/,11206
0.174,X,E 159 St bet. Melrose Av and Courtlandt Av,Rainbow Garden,Garden,http://www.nycgovparks.org/parks/X317/,10451
0.79,B,"E. 93 St. to E. 94 St., between Lenox Rd. and Clarkson Ave.",Kennedy King Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B304/,11212
1.259,B,Greene Ave. bet. Waverly Ave. and Washington Ave.,Greene Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B301/,11238
0.703,B,"Adelphi St., Myrtle Ave., Clermont Ave.",Oracle Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B300/,11205
1.76,B,Surf Ave. between W. 12 St. and W. 8 St.,Luna Playground,Playground,http://www.nycgovparks.org/parks/B296/,11224
1.033,B,Flushing Ave. between N. Portland Ave. and N. Oxford St.,Oxport Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B295/,11205
1.336,B,Lafayette Ave. and Classon Ave.,Classon Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B293/,11205
0.918,B,Willoughby Ave. between Stuben St. and Emerson Pl.,Pratt Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B292/,11205
2.295,B,Ave. N between E. 49 St. and Utica Ave.,Power Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B291/,11234
2.427,B,"Ave. D, Ditmas Ave. bet. E. 56 St. and E. 57 St.",Harry Maze Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B285/,11203
0.65,M,E 34 St To E 39 St and Park Av,Park Avenue Malls,Mall,http://www.nycgovparks.org/parks/M060B/,10016
1.23,B,"80 St. To 81 St., 11 Ave. To 12 Ave.",Patrick O'Rourke Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B282/,11228
210.928,R,"SI Expwy., W. Shore Expwy., Graham Ave., South Ave.",Staten Island Industrial Park,Nature Area,http://www.nycgovparks.org/parks/R143/,10314
3.017,B,"Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd.",Brownsville Playground,Community Park,http://www.nycgovparks.org/parks/B270/,11212
2.3,B,Ditmas Ave. bet. E. 92 St. and E. 91 St.,Railroad Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B271/,11236
0.082,B,"Flatbush Ave., Lafayette Ave., Rockwell Pl.",Bkln Bears Rockwell Pl Garden,Garden,http://www.nycgovparks.org/parks/B422/,11217
1.095,B,Hopkinson Ave. bet. Pacific St. and Dean St.,Hilltop Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B387/,11233
0.049,B,Bradford St. and Dumont Ave.,First Temple Of David,Garden,http://www.nycgovparks.org/parks/B466/,11207
1.035,Q,23 Ave. bet. 85 St. and Ditmars Blvd.,Planeview Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q393I/,10021
0.205,B,Sherman St. at Ocean Pkwy.,Park,Triangle/Plaza,http://www.nycgovparks.org/parks/B255M/,11218
0.392,B,"Division Ave., Rodney St., S. 9 St.",Rodney Park South,Recreational Field/Courts,http://www.nycgovparks.org/parks/B223OC/,11211
2.289,B,Monroe St. to Madison St. between Patchen Ave. and Ralph Ave.,P.O. Reinaldo Salgado Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B224/,11221
0.189,B,"Rodney St., S. 3 St., Borniquen Pl.",Rodney Playground Center,Neighborhood Park,http://www.nycgovparks.org/parks/B223PD/,11211
5.323,Q,"Seagirt Blvd., Seagirt Ave. bet. Beach 5 St. and Queens County Border",Seagirt Ave Wetlands,Nature Area,http://www.nycgovparks.org/parks/Q469/,1155911691
0.686,Q,"171 St., 172 St. bet. 33 Ave. and 35 Ave.",Auburndale Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q397/,11358
0.137,Q,133 Ave. bet. 82 St. and 86 St.,Tudor Malls,Mall,http://www.nycgovparks.org/parks/Q177/,11417
0.02,Q,"125 St.,  85 Ave., Metropolitan Ave.",Metro Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q157/,11415
2.982,B,"Flushing Ave, Williamsburg Pl, Classon & Kent Aves",Classon Playground,Playground,http://www.nycgovparks.org/parks/B223NA/,11211
0.01,Q,"Myrtle Ave., Cypress Ave., Cornelia St.",Clemens Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q056/,11385
0.406,B,S. 4 St. bet. Roebling St. and Williamsburg Bridge Ramp,La Guardia Playground,Playground,http://www.nycgovparks.org/parks/B167/,11211
1.889,Q,Beach 49 St. bet. Elizabeth Ave. and Beach Channel Dr.,Conch Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q394/,11691
0.996,B,Bedford Ave. bet. S. 9 St. and Division Ave.,Bedford Playground,Playground,http://www.nycgovparks.org/parks/B142/,11211
1.37,R,Wall St. bet. St Marks Pl. and Belmont Pl.,Lt. Lia Playground,Playground,http://www.nycgovparks.org/parks/R111/,10301
229.14,X,Whitestone Bridge Approach to the NYC-Westchester County Line,Hutchinson River Parkway,Parkway,http://www.nycgovparks.org/parks/X101/,1046110462104651046910475
3.23,R,Greencroft Ave. bet. Ainsworth Ave. and Redgrave Ave.,Greencroft Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/R089/,10308
4.647,R,"SI Expressway, Manor Rd. and Schmidts La.",Sports Park,Managed Sites,http://www.nycgovparks.org/parks/R075D/,10314
0.975,B,S. 5 St. bet. Wythe Ave. and Berry St.,Lot,Lot,http://www.nycgovparks.org/parks/B112/,11211
269.415,X,"Bronx River, Bronx River Ave. bet. Lafayette Ave., Surf Dr.",Soundview Park,Flagship Park,http://www.nycgovparks.org/parks/X118/,10473
0.402,Q,225 St. bet. 135 Ave. and 141 Ave.,225 Street Malls,Mall,http://www.nycgovparks.org/parks/Q283/,11413
0.185,Q,110 Ave. bet. 213 St. and 217 St.,Nakks Malls,Mall,http://www.nycgovparks.org/parks/Q281/,11429
16.505,R,"Mosel Ave., Palma Dr., Hanover Ave.",Eibs Pond Park,Nature Area,http://www.nycgovparks.org/parks/R124/,10304
1.803,Q,Midland Pkwy. bet. Surrey Place and Hillside Ave.,Midland Malls,Mall,http://www.nycgovparks.org/parks/Q030/,11432
5.82,Q,Shore Blvd. bet. Ditmars Blvd. and 20 Ave.,Ralph Demarco Park,Neighborhood Park,http://www.nycgovparks.org/parks/Q004A/,11105
24.498,B,"41 St., 44 St., bet. 5 Ave. and 7 Ave.",Sunset Park,Community Park,http://www.nycgovparks.org/parks/B087/,11232
0.934,B,Classon Ave. bet. Fulton St. and Lefferts Pl.,Crispus Attucks Playground,Playground,http://www.nycgovparks.org/parks/B102/,11238
2.412,Q,Queens Blvd. bet. 62 Ave. and 62 Rd.,Lost Battalion Hall Recreation Center,Community Park,http://www.nycgovparks.org/parks/Q401/,11374
0.043,B,Van Siclen Ave. and Blake Ave.,Big Red Garden,Garden,http://www.nycgovparks.org/parks/B446/,11207
3.814,Q,164 Pl. bet. Grand Central Pkwy. Sr. Rd. S. and 84 Ave.,Joseph Austin Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q391/,11432
0.114,X,Hornaday Pl bet. Crotona Pkwy and Mohegan Av,Volky Garden & Flowers,Garden,http://www.nycgovparks.org/parks/X346/,10460
17.581,M,"Central Park W, Columbus Av, W 77 To W 81 Sts",Theodore Roosevelt Park,Buildings/Institutions,http://www.nycgovparks.org/parks/M053/,10024
1.553,Q,Clintonville St. bet. 17 Ave. and 17 Rd.,Clintonville Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q390/,11357
1.21,Q,Beach Channel Dr. bet. Beach 104 St. and Seaside Ave.,Bayside Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q389/,11694
0.118,M,W. 139 St. bet. Adam C Powell Blvd. and Lenox Ave.,Abyssinian Tot Lot,Playground,http://www.nycgovparks.org/parks/M303/,10030
1.206,Q,"Francis Lewis Blvd., 201 St. bet. 42 Ave. and Station Rd.",Francis Lewis Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q381/,11361
0.089,B,Olive St. between Powers St. and Devoe St.,St Nicholas-olive St Garden,Garden,http://www.nycgovparks.org/parks/B425/,11211
1.318,Q,101 Ave. bet. 92 St. and 83 St.,Ampere Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q378/,11416
0.553,Q,"Alameda Ave. bet. Northern Blvd., Hanford St. and Northern Blvd., 247 St.",Alameda Malls,Mall,http://www.nycgovparks.org/parks/Q262/,11362
1.698,M,"E Houston St, E Broadway",Allen Street Malls,Mall,http://www.nycgovparks.org/parks/M004/,10002
26.042,M,"Hudson River, Liberty St. West St, and Pier A",Battery Park City,Community Park,http://www.nycgovparks.org/parks/M283/,100071001310280
0.076,M,W. 131 St. bet. 5 Ave. and Lenox Ave.,United Block Association Garden,Garden,http://www.nycgovparks.org/parks/M380/,10037
3.089,M,"FDR Drive, E 63 St. To E 81 St.",East River Walk,Waterfront Facility,http://www.nycgovparks.org/parks/M108T/,10021100281006510075
0.207,R,"Richmond Ave., Forest Ave., and Willowbrook Rd.",Egbert Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/R020/,10302
0.15,B,"Ave. U, E. 71 St., Veterans Ave.",Barone Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B190/,11234
0.078,B,"Flatbush Ave., Schenctady Ave., Ave. O",Trust Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B176/,11234
0.076,B,"Ave. W, W. 6 St. and 86 St.",Cutinella Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B289/,11223
0.02,B,"E. 17 St., South of Ave. H",Flatbush Mall,Mall,http://www.nycgovparks.org/parks/B180/,11230
0.603,M,Lexington Ave. bet. E. 122 St. and 123 St.,Dr. Ronald E. McNair Playground,Neighborhood Park,http://www.nycgovparks.org/parks/M285/,10035
0.134,M,"Convent Ave., 151 St. and St. Nicholas Ave.",Convent Garden,Triangle/Plaza,http://www.nycgovparks.org/parks/M284/,10031
1.5,M,"Szold Pl., E. 10 St., Ave. D",Dry Dock Playground,Community Park,http://www.nycgovparks.org/parks/M270/,10009
0.069,Q,98 St. bet. Northern Blvd. and 32 Ave.,Private William Gray Playground,Playground,http://www.nycgovparks.org/parks/Q439/,11369
1.745,Q,Yellowstone Blvd. bet. 68 Ave. and 68 Rd.,Yellowstone Park,Neighborhood Park,http://www.nycgovparks.org/parks/Q425/,11375
0.477,M,"Hudson St., Bleecker St. and 8 Ave.",Bleecker Playground,Neighborhood Park,http://www.nycgovparks.org/parks/M251/,10014
0.6,M,"W. 26 St., 8 Ave. To 9 Ave.",Penn South Playground,Neighborhood Park,http://www.nycgovparks.org/parks/M249/,10001
1.34,M,"7 Ave. To 8 Ave., W. 143 St. To W. 144 St.",Renaissance Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/M245/,10030
1.145,Q,166 St. bet. 16 Ave. and 16 Rd.,Willets Point Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q375/,11357
1.304,Q,62 Dr. bet. 97 Pl. and 98 St.,Horace Harding Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q428/,11374
0.942,Q,134 Rd. and 173 St.,South Rochdale Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q427/,11434
0.821,Q,147 St. bet. 26 Ave. and 27 Ave.,Hart Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q419/,11354
0.878,Q,155 Ave. bet. 83 St. and 84 St.,Harold Schneiderman Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q408/,11414
0.8,B,E. 17 St. bet. Foster Ave. and Ave. H,Flatbush Malls,Mall,http://www.nycgovparks.org/parks/B179/,11230
0.809,Q,"37 St., 38 St., bet. 20 Rd. and 20 Ave.",Steinway Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q395/,11105
0.006,B,"Dahill Rd., 24 Ave., 62 St.",Dahill Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B175/,11204
0.047,M,"Kenmare St., Lafayette St., and Cleveland Pl.",Petrosino Square,Triangle/Plaza,http://www.nycgovparks.org/parks/M170/,10012
0.02,M,Lexington Ave. bet. E. 122 St. and E. 123 St.,Life Spire Garden,Garden,http://www.nycgovparks.org/parks/M346/,10035
0.249,M,E. 2 St. bet. Ave. B and Ave. C,Kenkeleba House Garden,Garden,http://www.nycgovparks.org/parks/M345/,10009
0.11,M,E. 108 St. bet. 1 Ave. and 2 Ave.,Humacao Community Garden,Garden,http://www.nycgovparks.org/parks/M344/,10029
0.023,M,Ave. B bet. E. 12 St. and E. 13 St.,Vamos Sembrar,Garden,http://www.nycgovparks.org/parks/M343/,10009
2.5,Q,Laurel Hill Blvd. bet. 61 St. and 64 St.,Big Bush Playground,Community Park,http://www.nycgovparks.org/parks/Q205A/,11377
3.852,M,Amsterdam Ave. bet. W. 136 St. and W. 138 St.,Jacob H. Schiff Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/M223/,10031
0.551,M,W. 49 St. bet. 9 Ave. and 10 Ave.,Gutenberg Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/M221/,10019
0.087,M,W. 116 St. bet. Manhattan Ave. and Fred Douglass Blvd.,Garden Of Love,Garden,http://www.nycgovparks.org/parks/M341/,10026
0.11,M,W. 137 St. bet. Lenox Ave. and Adam C Powell Blvd.,Elizabeth Langley Memorial Garden,Garden,http://www.nycgovparks.org/parks/M340/,10030
0.066,M,E. 8 St. bet. Ave. B and Ave. C,De Colores Cmty Yard and Center,Garden,http://www.nycgovparks.org/parks/M336/,10009
1.3,M,"Broadway, W 110 StTo W 122 St",Broadway Malls,Mall,http://www.nycgovparks.org/parks/M094A/,1002510027
5.754,M,"Broadway, Columbus Circle To W 110 St",Broadway Malls,Mall,http://www.nycgovparks.org/parks/M094/,100231002410025
1.679,M,"7 Ave., W. 110 St. To W. 152 St.",Adam Clayton Powell Jr. Malls,Mall,http://www.nycgovparks.org/parks/M096/,10026100271003010039
1.085,B,Clymer St. to Morton St. between Kent Ave. and Wythe Ave.,Jacob's Ladder Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B382B/,11211
2.198,M,"Broadway, W. 135 St. To W. 156 St.",Broadway Malls,Mall,http://www.nycgovparks.org/parks/M095/,1003110032
0.059,X,S/B Cross Bronx Exwy SR bet. Rosedale and Commonwealth Av,Park,Triangle/Plaza,http://www.nycgovparks.org/parks/X148K1/,10472
0.44,X,Van Nest Ave. at E. 180 St. and E. Tremont Ave.,Young Park,Triangle/Plaza,http://www.nycgovparks.org/parks/X073/,10460
5.739,B,"Columbia St., Hicks St. bet. Congress St. and Atlantic Ave.",Van Voorhees Playground,Playground,http://www.nycgovparks.org/parks/B050/,11201
0.1,Q,"Astoria Blvd S., Hoyt Ave. S. bet. 31 St. and 32 St.",Columbus Square,Triangle/Plaza,http://www.nycgovparks.org/parks/Q137/,11103
0.749,M,"W. 64 St., bet. Amsterdam Ave. and West End Ave.",Samuel N. Bennerson 2nd Playground,Neighborhood Park,http://www.nycgovparks.org/parks/M184/,10023
149.54,Q,Mott Basin to the City Line,Jamaica Bay Park,Nature Area,http://www.nycgovparks.org/parks/Q309/,110961143011691
2.32,M,Corner of Baruch Pl. and Mangin St.,Baruch Playground,Recreational Field/Courts,http://www.nycgovparks.org/parks/M165/,10002
0.847,B,Livonia Ave. between Barbey St. and Schenck Ave.,Sankofa Park,Playground,http://www.nycgovparks.org/parks/B261/,11207
1.187,B,Lafayette Ave. bet. Waverly Ave. and Washington Ave.,Underwood Park,Neighborhood Park,http://www.nycgovparks.org/parks/B259/,11205
0.116,B,Ocean Pkwy. at E. 8 St.,Park,Triangle/Plaza,http://www.nycgovparks.org/parks/B255N/,11218
21.377,B,Brooklyn Waterfront From Washington St To Atlantic Ave,Brooklyn Bridge Park,Community Park,http://www.nycgovparks.org/parks/B431/,1120111201112011120111201
0.586,B,Dahlgreen Pl. bet. Exit 17 and Ft. Hill Pl.,Park,Parkway,http://www.nycgovparks.org/parks/B210V/,11228
1.13,X,Soundview Ave. at Pugsley Creek Park,Park,Managed Sites,http://www.nycgovparks.org/parks/X301/,10473
1.868,X,"Mapes Ave., Prospect Ave. bet. E. 180 St. and E. 181 St.",Mapes Park,Neighborhood Park,http://www.nycgovparks.org/parks/X289/,10460
3.195,R,Murray Julbert Ave. bet. Victory Blvd. and Hannah St.,Lyons Pool,Buildings/Institutions,http://www.nycgovparks.org/parks/R043/,10301
3.253,B,"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",Callahan-Kelly Playground,Community Park,http://www.nycgovparks.org/parks/B219/,11233
0.29,B,"Borinquen Pl., Rodney St. and S. 1 St.",Blue Playground,Playground,http://www.nycgovparks.org/parks/B223PE/,11211
1.076,Q,167 St. bet. 108 Dr. and 109 Ave.,Latimer Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q402/,11433
0.749,Q,160 St. bet. 75 Ave. and 75 Rd.,Playground Seventy Five,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q354/,11366
196.398,M,"Dyckman St, Hudson River, Harlem River S",Inwood Hill Park,Community Park,http://www.nycgovparks.org/parks/M042/,1003310034
0.329,X,Kingsbridge Ter bet. Perot St and Summilt P,Kingsbridge Heights Community Center,Buildings/Institutions,http://www.nycgovparks.org/parks/X250/,10463
0.186,M,E. 118 St. bet. 1 Ave. and 2 Ave.,Diamante Garden,Garden,http://www.nycgovparks.org/parks/M323/,10035
0.115,X,Davidson Ave. at W. 190 St.,Davidson Ave. Community Gardeners Group,Garden,http://www.nycgovparks.org/parks/X343/,10468
0.15,X,E. 175th St. at Walton Ave.,Townsend Garden,Garden,http://www.nycgovparks.org/parks/X331/,10453
0.545,M,Broadway and W. 204 St.,Dyckman House Museum,Historic House Park,http://www.nycgovparks.org/parks/M026/,10034
0.19,X,E 169th St bet. Teller Av and Clay Av,Claremont Neighborhood Garden,Garden,http://www.nycgovparks.org/parks/X321/,10456
0.144,M,"Broadway, Av of the Americas, bet. W. 32 St. and W. 33 St.",Greeley Square Park,Triangle/Plaza,http://www.nycgovparks.org/parks/M032/,10001
0.11,X,W 163 St bet. Ogden Av and Woodycrest Av,La Isla Garden,Garden,http://www.nycgovparks.org/parks/X327/,10452
1.194,X,River Ave. bet. E 164 St. and E. 165 St.,Lot,Lot,http://www.nycgovparks.org/parks/X254/,10452
0.201,X,E 183 St bet. Park Av and Webster Av,Thorpe Family Playground,Playground,http://www.nycgovparks.org/parks/X302/,10458
0.146,M,Amsterdam Ave. bet. W. 118 St. and W. 119 St.,Old Croton Aqueduct Gatehouse,Garden,http://www.nycgovparks.org/parks/M320/,10027
0.129,M,W. 128. St. bet. 5 Ave. and Lenox Ave.,Unity Gardens,Garden,http://www.nycgovparks.org/parks/M298/,10027
0.774,M,"Broadway, St Nicholas Av, W 166 St To W 168 St",Mitchel Square,Triangle/Plaza,http://www.nycgovparks.org/parks/M054/,10032
0.183,X,E 174 St bet. Bryant Av and Longfellow Av,Eae J Mitchell Park,Neighborhood Park,http://www.nycgovparks.org/parks/X267/,10460
0.782,X,E 168 St bet.  Park Av and Washington Av,Morgan Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X206/,10456
0.549,X,Claremont Pkwy bet. Park Av and Washington Av,Little Claremont Playground,Playground,http://www.nycgovparks.org/parks/X299/,10457
